tradv_ticker;region;rapi_response_code;yahoo_symbol;group;;
ACWI;US;200;ACWI;10;;0
URTH;US;200;URTH;10;;1
NDX;US;200;^NDX;10;;2
MNQ1!;US;302;;;;3
SPX;US;200;^GSPC;10;;4
DJI;US;302;^DJI;;;5
RUT;US;200;^RUT;10;;6
DJR;US;302;^DJR;10;;7
NI225;JP;302;^N225;10;;8
DXY;US;302;;;;9
HSI;HK;302;^HSI;10;;10
1;CN;302;000001.SS;;;11
SENSEX;US;;^BSESN;10;;12
SMI;US;;^SSMI;10;;13
FSMI1!;US;;;;;14
SX5E;US;;^STOXX50E;;;15
UKX;US;;^FTSE;99;;16
DEU40;US;;^GDAXI;10;;17
FDAX1!;US;;;;;18
TDXP;US;;;;;19
CAC40;US;;;;;20
BRN1!;US;;;;;21
GAS1!;US;;;;;22
TTF1!;US;;;;;23
XAUUSD;US;;GC=F;;;24
MULTPL/SHILLER_PE_;US;;;;;25
FED/SVENF;US;;;;;26
VIX;US;200;^VIX;;;27
MOVE;US;200;;;;28
US02Y;US;302;;;;29
US10Y;US;302;^TNX;20;;30
US30Y;US;302;^TYX;20;;31
DE10Y;US;;;;;32
IT10Y;US;;;;;33
FGBL1!;US;;;;;34
XU100;US;;;;;35
EURUSD;US;;EURUSD=X;30;;36
EURCHF;US;;EURCHF=X;30;;37
USDCHF;US;;USDCHF=X;30;;38
BFIT;US;;BFIT;40;;39
SOCL;US;;SOCL;40;;40
ISPY;US;;ISPY;;;41
HXR;US;;HXR;;;42
LIT;US;;LIT;40;;43
MILN;US;;MILN;40;;44
LYDAX.SW;US;;LYDAX.SW;40;;45
FINX;US;;FINX;;;46
ROBO;US;;ROBO;40;;47
VAPX;US;;VAPX;;;48
BNXG;US;;BNXG;;;49
IGV;US;;IGV;40;;50
WTAI.SW;US;;WTAI.SW;40;;51
ICHN.SW;US;;ICHN.SW;41;;52
INRG.SW;US;;INRG.SW;40;;53
LYNRJ.SW;US;;LYNRJ.SW;40;;54
XDEV.SW;US;;XDEV.SW;40;;55
IWMO.SW;US;;IWMO.SW;40;;56
XDEM.SW;US;;XDEM.SW;40;;57
CBBFS.SW;US;;CBBFS.SW;20;;58
DSB;US;;DSB;;;59
HTRY.SW;US;;HTRY.SW;41;;60
CE9E.SW;US;;CE9E.SW;40;;61
CBMEM;US;;CBMEM.SW;41;;62
